95.8251 	EXP 	Fixation: autoDraw = False
95.8251 	EXP 	grating: autoDraw = False
95.8251 	EXP 	grating: ori = 0.0
95.8251 	EXP 	Fixation: autoDraw = True
96.8075 	EXP 	grating: autoDraw = True
96.8133 	EXP 	Fixation: autoDraw = False
97.0968 	EXP 	grating: autoDraw = False
97.1874 	EXP 	New trial (rep=60, index=0): None
97.1910 	DATA 	Keypress: up
97.1953 	EXP 	Fixation: autoDraw = False
97.1953 	EXP 	grating: autoDraw = False
97.1953 	EXP 	grating: ori = 0.0
97.1953 	EXP 	Fixation: autoDraw = True
98.1825 	EXP 	grating: autoDraw = True
98.1909 	EXP 	Fixation: autoDraw = False
98.4802 	EXP 	grating: autoDraw = False
98.8323 	EXP 	New trial (rep=61, index=0): None
98.8360 	DATA 	Keypress: up
98.8409 	EXP 	Fixation: autoDraw = False
98.8409 	EXP 	grating: autoDraw = False
98.8409 	EXP 	grating: ori = 0.0
